Title,Year,ISSN,DOI,Link
Deep-Learning-Based Resource Allocation for 6G NOMA-Assisted Backscatter Communications,2024,23274662,10.1109/JIOT.2024.3424728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197522790&doi=10.1109%2fJIOT.2024.3424728&partnerID=40&md5=10d48dd67bb00d4ecd7653c9076234a0
Knowledge-Collaboration-Based Resource Allocation in 6G IoT: A Graph Attention RL Approach,2024,23274662,10.1109/JIOT.2024.3416054,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196555022&doi=10.1109%2fJIOT.2024.3416054&partnerID=40&md5=63042177d7d6725c6d7bf3538edc0802
Intelligent Hierarchical NOMA-Based Network Slicing in Cell-Free RAN for 6G Systems,2024,15361276,10.1109/TWC.2023.3321717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174836348&doi=10.1109%2fTWC.2023.3321717&partnerID=40&md5=0a275c2505252698a0708868c99d2efd
Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks: A Hierarchical Multi-Agent DRL Approach,2024,00983063,10.1109/TCE.2024.3512581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212054283&doi=10.1109%2fTCE.2024.3512581&partnerID=40&md5=e116aeeb8725b206d9487ea0ae8b4b72
Moving Target Defense (MTD) for 6G Edge-to-Cloud Continuum: A Cognitive Perspective,2024,08908044,10.1109/MNET.2024.3483302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207464610&doi=10.1109%2fMNET.2024.3483302&partnerID=40&md5=f572a4926979989ee8c5eb5bf0111bc3
Energy Maximization for Wireless Powered Communication Enabled IoT Devices With NOMA Underlaying Solar Powered UAV Using Federated Reinforcement Learning for 6G Networks,2024,00983063,10.1109/TCE.2024.3357125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183943073&doi=10.1109%2fTCE.2024.3357125&partnerID=40&md5=6c5bdd39bca256918b0389432168839e
"Joint Task Offloading, Resource Allocation and Model Placement for AI as a Service in 6G Network",2024,19391374,10.1109/TSC.2024.3451170,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202776995&doi=10.1109%2fTSC.2024.3451170&partnerID=40&md5=53cb2653f14fac8ee9ff9ff224e0d43e
Federated Deep Reinforcement Learning-Based Intelligent Surface Configuration in 6G Secure Airport Networks,2024,15249050,10.1109/TITS.2024.3463189,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207629819&doi=10.1109%2fTITS.2024.3463189&partnerID=40&md5=66b3ab2f36b2874773d03cd841fc49f6
Toward Massive Distribution of Intelligence for 6G Network Management Using Double Deep Q-Networks,2024,19324537,10.1109/TNSM.2023.3333875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178012137&doi=10.1109%2fTNSM.2023.3333875&partnerID=40&md5=c88fc638d92d191e83d935f585b69206
On Combining XAI and LLMs for Trustworthy Zero-Touch Network and Service Management in 6G,2024,01636804,10.1109/MCOM.002.2400276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209130678&doi=10.1109%2fMCOM.002.2400276&partnerID=40&md5=ad138e2d50295d1ce3cc3f62af295073
Optimization for 6G Wireless Communications with Heterogeneous VR and Non-VR 360-Degree Videos: A Differentiated Reinforcement Learning Approach,2024,15361276,10.1109/TWC.2024.3409669,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197646340&doi=10.1109%2fTWC.2024.3409669&partnerID=40&md5=0d81774e9841ccc44f4f0956923b746a
Parallel Attention-Based Transformer for Channel Estimation in RIS-Aided 6G Wireless Communications,2024,00189545,10.1109/TVT.2024.3425433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198298099&doi=10.1109%2fTVT.2024.3425433&partnerID=40&md5=11f0099aa22c1f293301140330720d81
